tile,stype,tusc_mean,ntusc_mean,tusc_std,ntusc_std
tile_0,Dsources,13106.215942382812,42701.82424619897,8497.898956551966,63514.510397804406
tile_10,Dsources,57525.087281000044,59771.730711189804,108804.31053497833,109498.54987403104
tile_11,Dsources,29480.075742085774,97370.27749221896,27915.95074091492,958076.5740488855
tile_12,Dsources,44691.70286649816,116474.2276728172,72232.73072181841,1015776.7322006724
tile_13,Dsources,63516.15110532699,47169.30967262556,71036.97575758248,62623.495453469586
tile_14,Dsources,83477.06107996686,47406.605064154544,216348.5428616727,84219.64135345348
tile_16,Dsources,121917.84590657552,46392.110068541944,183674.4243082448,91072.3944991141
tile_17,Dsources,35932.682812160914,56686.43167663469,42421.75608974482,421670.6119191058
tile_18,Dsources,46607.92549133301,51164.02881335868,71402.58319112848,74734.3134565965
tile_19,Dsources,53113.52118791853,63021.588517720025,67827.09001635935,457347.7255579483
tile_20,Dsources,93992.85997944494,76495.94751422449,119197.59426053881,421588.8327577567
tile_21,Dsources,55729.303466796875,158954.40882169936,31823.71651166095,1667576.4004898614
tile_22,Dsources,98481.56622314453,38199.071856086484,209784.55071771337,58985.433012513095
tile_23,Dsources,101113.01151852492,89788.67125002018,170325.9668223773,165904.6677266145
tile_24,Dsources,137059.00691295805,86045.74307785783,331291.24999565305,174345.89763368972
tile_25,Dsources,53113.08007376535,101650.41666033366,83089.41964426464,1324636.6726314996
tile_26,Dsources,151493.10499303482,89155.33567232359,129266.33827990452,175306.78641051846
tile_27,Dsources,112057.68742752075,53483.257601813726,207170.9056370626,197833.77490279303
tile_28,Dsources,51998.85693359375,53340.878164689806,56953.80745521672,97467.293703523
tile_29,Dsources,99576.67626953125,73274.61874171974,76465.08109825681,140033.07536069327
tile_2,Dsources,,57346.91432790184,,71828.26798948778
tile_30,Dsources,82787.23798847198,144660.7416218161,54928.33042714597,305821.05915256916
tile_31,Dsources,164799.1339225769,112616.5513622039,390420.94810165325,232973.0090793227
tile_32,Dsources,90281.14550628662,89387.96491069526,111896.32345521162,151606.53568595336
tile_33,Dsources,102120.95377604167,85764.23466716215,88155.33648228612,177989.07526492164
tile_34,Dsources,81973.30565632254,80433.78439759371,133649.56367542423,211615.0198234431
tile_35,Dsources,75579.11067708333,59330.64270144376,49845.974253409986,123925.42115516421
tile_3,Dsources,53561.678542364214,60063.094058506664,52536.81171846874,92164.52691940688
tile_4,Dsources,92509.08721923828,123648.96584177541,105799.67894415213,1732684.9236524247
tile_5,Dsources,45104.35524922032,51982.71987624547,88527.78033287104,89499.14780783502
tile_7,Dsources,27687.00363413493,55464.5313146682,42385.512998976046,88336.60791504906
tile_8,Dsources,25562.981100899833,67934.99034009094,37217.52052935013,94359.86849724675
tile_9,Dsources,72742.56410047744,57531.85594306417,106079.97442804424,88618.00202248112
