tile,stype,tusc_mean,ntusc_mean,tusc_std,ntusc_std
tile_0,Psources,,,,
tile_10,Psources,,1241.8327309729646,,12490.250580686385
tile_11,Psources,252041.828125,28884.184205678794,78408.0436648693,92374.32286778635
tile_13,Psources,246.63589477539065,478.18067174718,,1058.3251602952666
tile_14,Psources,442.39280700683594,69.62699883158614,235.62730149489383,51.00816078278917
tile_16,Psources,,,,
tile_17,Psources,,357819.6682427724,,509935.5692788155
tile_18,Psources,,111.9604405623216,,82.62197482996761
tile_19,Psources,,477.0238655823928,,2945.83485421585
tile_20,Psources,,14376.906761459157,,125188.78900046901
tile_21,Psources,,,,
tile_22,Psources,,,,
tile_23,Psources,,,,
tile_24,Psources,,,,
tile_25,Psources,,,,
tile_26,Psources,,,,
tile_27,Psources,,,,
tile_28,Psources,,,,
tile_29,Psources,,,,
tile_2,Psources,,129.2279177273021,,366.96229153227716
tile_30,Psources,,,,
tile_31,Psources,,,,
tile_32,Psources,,,,
tile_33,Psources,,,,
tile_34,Psources,,,,
tile_3,Psources,219996.4640299479,4485.959319478683,380475.30551066727,39231.68375407735
tile_4,Psources,,36126.65810634212,,288238.28616596974
tile_7,Psources,,245.22961872274226,,503.6709614547996
tile_8,Psources,,220.20690249014592,,699.5135434575503
tile_9,Psources,,40237.93268533086,,371115.92574276926
