tile,stype,tusc_mean,ntusc_mean,tusc_std,ntusc_std
tile_0,Wsources,11562.723353794643,9203.488593003263,3399.926651993823,15502.876722475137
tile_10,Wsources,9178.533894653321,19793.466346740723,6233.959198904723,106868.48255636508
tile_11,Wsources,9926.139148246952,12431.761606305332,4923.803107499698,18007.934791561853
tile_13,Wsources,13199.304464142899,12400.762581473902,18266.92463405441,51314.86700049215
tile_14,Wsources,17390.382717345372,10662.500629975682,25566.849260842737,25403.660649019937
tile_16,Wsources,8273.2641135506,12551.226222168021,5864.698325913039,24865.94577113809
tile_17,Wsources,24678.757809884206,12900.100321353211,65265.93740772813,14519.030287875368
tile_18,Wsources,7700.233410971506,12575.189017226226,5834.103980902849,26875.33758371038
tile_19,Wsources,10262.76998155382,14513.800571106674,4541.756761796504,27803.347849377362
tile_20,Wsources,12785.227536221768,10967.146747342154,22973.917341173074,29949.345861974267
tile_21,Wsources,11310.332057752108,8092.686166999453,7563.593309374178,16610.419328726977
tile_22,Wsources,15101.808925356183,9329.074208916802,17213.063052764872,21934.779199961413
tile_23,Wsources,7593.885553391775,9829.834405573742,17037.22423648394,30352.482311920274
tile_24,Wsources,12520.172837201288,9840.67365418522,13524.480240721281,32323.241884158182
tile_25,Wsources,8106.190522413987,11985.542509546547,6047.226470323164,65965.47593989901
tile_26,Wsources,10206.806286811829,4921.171289287764,13912.29597174029,14623.807898103656
tile_27,Wsources,8307.036142696033,10477.596114713637,20331.097180681558,43244.32627185773
tile_28,Wsources,8293.702903747559,6064.8623328295225,11578.423656562392,13402.886943222391
tile_29,Wsources,10381.839960189092,8463.048060785062,10755.198973396196,39786.896589967655
tile_2,Wsources,1508.9954833984375,11033.281307131607,,14337.39372908251
tile_30,Wsources,11758.53556728363,8173.332082489627,21730.201084718792,31206.392713906862
tile_31,Wsources,4351.449719465696,11455.45273600162,8580.025826463461,55159.79160590476
tile_32,Wsources,3647.899108618498,13407.486667395511,6934.816040595778,118806.39960548794
tile_33,Wsources,4820.57993551663,4793.664992047452,4582.237536180517,15042.453399145164
tile_34,Wsources,7226.162606296085,14084.206529317327,34673.48659939226,49824.87522088087
tile_3,Wsources,9752.946516739694,12551.450286583742,5763.282996007061,18284.04192148368
tile_7,Wsources,9210.52804788729,22165.909762129282,6129.846810195061,193279.5073135627
tile_8,Wsources,12019.665624512567,11511.517648278472,8479.979558952895,18604.51173717972
tile_9,Wsources,11740.564586438632,11495.688564103748,9094.872648363995,23534.036973142483
